measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,battery_pack_voltage__1363,biased_module_3_10_mv__1209,biased_module_3_11_mv__1210,biased_module_3_12_mv__1211,biased_module_3_13_mv__1212,biased_module_3_14_mv__1213,biased_module_3_15_mv__1214,biased_module_3_16_mv__1215,biased_module_3_4_mv__1203,biased_module_3_5_mv__1204,biased_module_3_6_mv__1205,biased_module_3_7_mv__1206,biased_module_3_8_mv__1207,biased_module_3_9_mv__1208,biased_module_voltage__1202,control_module_voltage__1371,das_battery_voltage__1369,das_temp__1368,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,dcdc_1_voltage__1364,dcdc_2_voltage__1365,dcdc_exhaust_temp__1367,hviv_load_temp_1__1191,hviv_load_temp_2__1192,hviv_load_temp_3__1193,interior_temp__1366,module_temp_1__321,program_codeset__1373,resistor_box_3_temp__1370,unbiased_module_3_1_mv__1199,unbiased_module_3_2_mv__1200,unbiased_module_3_3_mv__1201,unbiased_module_temp_3_1__1195,unbiased_module_temp_3_2__1196,unbiased_module_temp_3_3__1197,vcm_above_threshold__1372,system_id
2010-05-24 01:38:00,5.022,0.033,122.724,13.442,,,,,,,,,,,,,,,,,,,333.148,0.008,1.638,0.012,,,,,,,,14.064,,,,,,,,,,4
2010-05-24 01:39:00,5.022,-0.281,122.733,13.561,,,,,,,,,,,,,,,,,,,246.799,0.008,1.602,0.012,,,,,,,,14.148,,,,,,,,,,4
2010-05-24 01:40:00,5.027,-0.171,122.741,13.775,,,,,,,,,,,,,,,,,,,230.572,0.007,1.608,0.012,,,,,,,,14.246,,,,,,,,,,4
2010-05-24 01:41:00,5.029,0.027,122.727,13.694,,,,,,,,,,,,,,,,,,,309.949,0.008,1.666,0.014,,,,,,,,14.303,,,,,,,,,,4
2010-05-24 01:42:00,5.023,0.308,122.682,13.541,,,,,,,,,,,,,,,,,,,282.119,0.008,1.776,0.014,,,,,,,,14.381,,,,,,,,,,4
2010-05-24 01:43:00,5.027,0.066,122.692,13.631,,,,,,,,,,,,,,,,,,,273.597,0.007,1.542,0.012,,,,,,,,14.382,,,,,,,,,,4
2010-05-24 01:44:00,5.022,0.192,122.719,13.618,,,,,,,,,,,,,,,,,,,294.763,0.007,1.77,0.012,,,,,,,,14.337,,,,,,,,,,4
2010-05-24 01:45:00,5.028,-0.0769999999999999,122.689,13.557,,,,,,,,,,,,,,,,,,,288.304,0.01,1.788,0.0179999999999999,,,,,,,,14.318,,,,,,,,,,4
2010-05-24 01:46:00,5.023,0.005,122.708,13.464,,,,,,,,,,,,,,,,,,,295.431,0.006,1.824,0.012,,,,,,,,14.297,,,,,,,,,,4
2010-05-24 01:47:00,5.026,0.313,122.763,13.361,,,,,,,,,,,,,,,,,,,307.747,0.008,1.606,0.014,,,,,,,,14.281,,,,,,,,,,4
2010-05-24 01:48:00,5.029,-0.155,122.8,13.257,,,,,,,,,,,,,,,,,,,298.436,0.007,1.608,0.012,,,,,,,,14.264,,,,,,,,,,4
2010-05-24 01:49:00,5.03,0.049,122.73,13.09,,,,,,,,,,,,,,,,,,,324.217,0.007,1.384,0.01,,,,,,,,14.265,,,,,,,,,,4
2010-05-24 01:50:00,5.026,-0.4129999999999999,122.759,12.961,,,,,,,,,,,,,,,,,,,350.728,0.007,1.726,0.012,,,,,,,,14.294,,,,,,,,,,4
2010-05-24 01:51:00,5.03,0.517,122.795,12.998,,,,,,,,,,,,,,,,,,,347.071,0.008,1.672,0.014,,,,,,,,14.368,,,,,,,,,,4
2010-05-24 01:52:00,5.029,-0.099,122.799,12.885,,,,,,,,,,,,,,,,,,,298.017,0.007,1.674,0.012,,,,,,,,14.361,,,,,,,,,,4
2010-05-24 01:53:00,5.035,-0.0609999999999999,122.839,12.825,,,,,,,,,,,,,,,,,,,279.37,0.008,1.684,0.012,,,,,,,,14.41,,,,,,,,,,4
2010-05-24 01:54:00,5.03,0.0769999999999999,122.841,12.837,,,,,,,,,,,,,,,,,,,278.748,0.007,1.594,0.012,,,,,,,,14.434,,,,,,,,,,4
2010-05-24 01:55:00,5.025,-0.215,122.833,12.807,,,,,,,,,,,,,,,,,,,277.757,0.005,1.702,0.01,,,,,,,,14.423,,,,,,,,,,4
2010-05-24 01:56:00,5.034,0.4729999999999999,122.847,12.668,,,,,,,,,,,,,,,,,,,297.652,0.007,1.59,0.012,,,,,,,,14.408,,,,,,,,,,4
2010-05-24 01:57:00,5.035,0.192,122.81,12.531,,,,,,,,,,,,,,,,,,,303.647,0.007,1.774,0.012,,,,,,,,14.396,,,,,,,,,,4
2010-05-24 01:58:00,5.031,0.335,122.822,12.509,,,,,,,,,,,,,,,,,,,328.61,0.007,1.626,0.012,,,,,,,,14.376,,,,,,,,,,4
2010-05-24 01:59:00,5.031,-0.325,122.858,12.524,,,,,,,,,,,,,,,,,,,306.565,0.008,1.726,0.014,,,,,,,,14.384,,,,,,,,,,4
2010-05-24 02:00:00,5.031,0.165,122.814,12.397,,,,,,,,,,,,,,,,,,,312.476,0.006,1.216,0.006,,,,,,,,14.354,,,,,,,,,,4
2010-05-24 02:01:00,5.028,0.275,122.745,12.257,,,,,,,,,,,,,,,,,,,328.911,0.008,1.564,0.012,,,,,,,,14.355,,,,,,,,,,4
2010-05-24 02:02:00,5.029,0.033,122.823,12.214,,,,,,,,,,,,,,,,,,,260.374,0.007,1.528,0.012,,,,,,,,14.342,,,,,,,,,,4
2010-05-24 02:03:00,5.027,0.1479999999999999,122.744,12.167,,,,,,,,,,,,,,,,,,,291.478,0.007,1.456,0.01,,,,,,,,14.342,,,,,,,,,,4
2010-05-24 02:04:00,5.029,0.0929999999999999,122.799,12.194,,,,,,,,,,,,,,,,,,,281.773,0.007,1.894,0.012,,,,,,,,14.341,,,,,,,,,,4
