measured_on,ac_current__758,ac_power_1__767,ac_power__752,ac_volts__757,das_battery_voltage__769,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,module_temp_2__761,poa_irradiance__750,system_id
2018-10-12 03:07:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:08:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:09:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:10:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:11:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:12:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 03:13:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 03:14:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:15:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,1190.0,50
2018-10-12 03:16:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:17:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 03:18:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:19:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 03:20:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 03:21:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:22:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 03:23:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:24:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
